Time,timestampREST,REST,timestampHTTP,HTTPStream,timestampWSS,WebSocket
2024-05-30T13:42:00+00:00,,,1717076518,3728.9190601,1717076520000,3728.73574402
2024-05-30T13:42:01+00:00,,,1717076519,3728.9190601,1717076521000,3728.73574402
2024-05-30T13:42:05+00:00,,,1717076520,3728.9190601,1717076525000,3729.16566965
2024-05-30T13:42:06+00:00,,,1717076522,3728.9190601,1717076526007,3729.16566965
2024-05-30T13:42:08+00:00,,,1717076523,3729.16566965,1717076528000,3729.16566965
2024-05-30T13:42:11+00:00,,,1717076525,3729.02310436,1717076531004,3729.16566965
2024-05-30T13:42:12+00:00,,,1717076528,3730.02919504,1717076532000,3729.16566965
2024-05-30T13:42:13+00:00,,,1717076529,3730.02919504,1717076533001,3729.16566965
2024-05-30T13:42:14+00:00,,,1717076533,3728.95535546,1717076534003,3729.16566965
2024-05-30T13:42:15+00:00,,,1717076534,3730.02919504,1717076535002,3729.16566965
2024-05-30T13:42:16+00:00,,,1717076535,3730.02919504,1717076536005,3730.02919504
2024-05-30T13:42:17+00:00,,,1717076536,3730.02919504,1717076537003,3730.02919504
2024-05-30T13:42:18+00:00,,,1717076537,3728.76708488,1717076538007,3730.02919504
2024-05-30T13:42:19+00:00,,,1717076539,3728.76708488,1717076539001,3728.76708488
2024-05-30T13:42:21+00:00,,,1717076540,3729.06323932,1717076541001,3728.76708488
2024-05-30T13:42:22+00:00,,,1717076541,3729.06323932,1717076542003,3728.76708488
2024-05-30T13:42:23+00:00,,,1717076543,3729.06323932,1717076543000,3728.76708488
2024-05-30T13:42:25+00:00,,,1717076544,3728.92067403,1717076545000,3728.76708488
2024-05-30T13:42:26+00:00,,,1717076545,3728.75717591,1717076546004,3728.76708488
2024-05-30T13:42:27+00:00,,,1717076547,3728.75717591,1717076547009,3728.76708488
2024-05-30T13:42:29+00:00,,,1717076548,3728.37072579,1717076549010,3728.63331369
2024-05-30T13:42:30+00:00,,,1717076549,3728.37072579,1717076550000,3728.37072579
2024-05-30T13:42:31+00:00,,,1717076550,3728.22704562,1717076551002,3728.22704562
2024-05-30T13:42:32+00:00,,,1717076551,3728.22704562,1717076552005,3728.22704562
2024-05-30T13:42:34+00:00,,,1717076553,3728.22704562,1717076554000,3728.22704562
2024-05-30T13:42:38+00:00,,,1717076554,3728.22704562,1717076558002,3728.22704562
2024-05-30T13:42:40+00:00,,,1717076556,3728.22704562,1717076560002,3729.94533449
2024-05-30T13:42:44+00:00,,,1717076557,3728.22704562,1717076564005,3729.94533449
2024-05-30T13:42:46+00:00,,,1717076558,3728.42522517,1717076566000,3729.94533449
